Part_id	Sc_id	answer	Mean gaze_angle_x	Standard Deviation gaze_angle_x	Minimum gaze_angle_x	Maximum gaze_angle_x	Sum gaze_angle_x	Mean gaze_angle_y	Standard Deviation gaze_angle_y	Minimum gaze_angle_y	Maximum gaze_angle_y	Sum gaze_angle_y
12	seg12	0.0	0.0878876712328766	0.0601079940098812	-0.172	0.343	32.07899999999999	0.4628684931506852	0.1263334106685719	-0.036	0.78	168.947
12	seg13	1.0	0.0825878962536023	0.0770301798927293	-0.281	0.393	28.658	0.3624841498559077	0.1902716143116198	-0.283	0.712	125.782
12	seg15	0.0	-0.0005256797583081	0.0969072894804477	-0.591	0.188	-0.1739999999999995	0.3686042296072506	0.1620131578155715	-0.291	0.75	122.008
12	seg16	0.0	0.0732173913043478	0.0907030302555682	-0.269	0.343	11.788	0.4461180124223601	0.1826587756147867	-0.125	0.729	71.82499999999999
12	seg17	0.0	-0.0036119402985074	0.0919496869600769	-0.223	0.285	-0.242	0.3063731343283582	0.1672809626713857	-0.287	0.635	20.527
13	seg1	1.0	-0.1450464000000001	0.0489583276577131	-0.221	-0.031	-90.654	0.2473632	0.037483320100546	0.169	0.46	154.60199999999998
13	seg2	1.0	-0.0875056	0.0484741618662974	-0.209	0.016	-54.691	0.2789248000000001	0.0513151122473682	0.127	0.475	174.32800000000003
13	seg3	1.0	-0.0920550161812297	0.0416426881706041	-0.202	0.073	-56.89	0.3227944983818769	0.0653376208217845	0.227	0.641	199.487
13	seg4	1.0	-0.0430912	0.0462326949523818	-0.148	0.085	-26.932	0.3853711999999999	0.0910623687950187	0.136	0.723	240.857
13	seg5	1.0	-0.0359582664526484	0.060945979223503	-0.203	0.151	-22.402	0.4970256821829851	0.095788805857388	0.155	0.779	309.647
13	seg6	1.0	-0.0506634615384615	0.0621482064292826	-0.243	0.151	-31.614	0.4631907051282057	0.1072112722654891	0.148	0.726	289.031
13	seg7	1.0	-0.0549504	0.0523524282134076	-0.174	0.053	-34.344	0.3190896000000003	0.0614947540188591	0.234	0.581	199.431
13	seg9	1.0	-0.0568479999999999	0.0514607510244457	-0.197	0.053	-35.53	0.3156928	0.0447511343784713	0.234	0.475	197.308
13	seg10	1.0	-0.0403744	0.0777550655882946	-0.197	0.196	-25.234	0.4423200000000005	0.1331952671831848	0.219	0.767	276.45
13	seg11	0.0	0.0378067632850241	0.070081489393036	-0.13	0.211	23.478	0.5460112721417066	0.1064894581818158	0.199	0.776	339.073
13	seg12	0.0	0.0378067632850241	0.070081489393036	-0.13	0.211	23.478	0.5460112721417066	0.1064894581818158	0.199	0.776	339.073
13	seg13	1.0	0.0275924657534246	0.0832962303950764	-0.281	0.393	8.057	0.3442328767123283	0.1482819898307373	-0.176	0.75	100.516
13	seg15	1.0	-0.0013614775725593	0.0877425695772729	-0.164	0.336	-0.5159999999999991	0.423849604221636	0.1285267692560994	-0.141	0.637	160.639
